timestamp,cpu_percent,ram_mb,temp_c,bitrate_kbps,fps_real,frames_skipped
18:31:14,47.8,3111,57.1,0,0,0
18:31:22,37.8,3115,57.6,2747,31.5,0
18:31:31,34.8,3094,58.7,2475,28.2,0
18:31:39,43.8,3090,58.7,2829,31.6,0
18:31:47,43.8,3088,58.2,2918,31.6,0
18:31:56,41.7,3044,59.8,2462,28.1,0
18:32:04,37.0,3048,58.7,2752,31.6,0
18:32:13,62.2,3055,58.2,2520,28.2,0
18:32:21,37.8,3103,58.7,2808,31.7,0
18:32:30,44.4,3075,58.2,2581,28.1,0
18:32:38,47.8,3076,58.2,2791,31.6,0
18:32:47,34.8,3051,58.7,2466,28.2,0
18:32:55,37.5,3061,58.7,2814,31.6,0
18:33:03,39.6,3049,58.2,2914,31.6,0
18:33:12,40.9,3060,58.2,2446,28.0,0
18:33:20,43.5,3058,58.2,2772,31.6,0
18:33:29,38.6,3059,57.1,2514,28.2,0
18:33:37,38.6,3037,58.2,2802,31.6,0
18:33:46,34.0,3046,58.7,2589,28.0,0
18:33:54,46.8,3041,58.2,2745,31.5,0
18:34:02,38.8,3057,56.5,2804,31.7,0
18:34:11,39.1,3056,58.7,2487,28.1,0
18:34:19,43.5,2996,59.3,2941,32.1,0
18:34:28,45.7,2979,58.7,2479,28.0,0
18:34:36,38.6,2968,57.6,2755,31.5,0
18:34:45,40.4,2964,58.2,2474,28.1,0
18:34:53,43.5,2963,58.2,2811,31.6,0
18:35:01,34.8,2944,58.2,2604,28.1,0
18:35:10,39.6,2953,58.7,2760,31.6,0
18:35:18,41.3,2942,58.2,2815,31.5,0
18:35:27,38.3,2940,58.2,2445,28.0,0
18:35:35,50.0,3025,58.2,2831,32.0,0
18:35:44,46.0,3020,58.2,2575,28.2,0
18:35:52,37.8,2946,58.2,2810,31.6,0
18:36:01,42.6,2962,57.6,2453,28.1,0
18:36:09,60.4,2922,58.7,2800,31.5,0

# RESUMEN
# Muestras,36
# CPU_media,42.0
# CPU_min,34.0
# CPU_max,62.2
# RAM_media,3027
# RAM_min,2922
# RAM_max,3115
# Temp_media,58.2
# Temp_min,56.5
# Temp_max,59.8
# Bitrate_media,2605
# Bitrate_max,2941
# FPS_media,29.2
