timestamp,elapsed_s,cpu_percent,ram_mb,temp_c,bitrate_kbps,fps
2026-03-22 20:34:07,0,75.1,2403,51.0,2336.1,N/A
2026-03-22 20:34:13,5,57.1,2398,51.0,2431.6,36.0
2026-03-22 20:34:19,10,56.5,2377,50.5,2485.1,33.0
2026-03-22 20:34:25,15,58.2,2362,52.1,2513.8,36.0
2026-03-22 20:34:31,20,60.5,2354,51.0,2531.3,33.0
2026-03-22 20:34:36,25,61.6,2356,52.7,2552.3,36.2
2026-03-22 20:34:42,30,60.0,2355,52.1,2556.6,33.2
2026-03-22 20:34:48,35,54.9,2416,53.2,2566.1,36.0
2026-03-22 20:34:54,40,50.4,2402,53.2,2576.2,33.0
2026-03-22 20:35:00,45,47.2,2412,52.7,2580.1,36.2
2026-03-22 20:35:05,50,42.6,2389,53.2,2585.7,33.0
2026-03-22 20:35:11,55,45.2,2386,53.2,2588.8,36.2
2026-03-22 20:35:17,60,49.0,2368,52.1,2595.8,33.0
2026-03-22 20:35:23,65,50.4,2362,53.2,2598.7,36.0
2026-03-22 20:35:29,70,57.3,2346,53.8,2599.2,33.0
2026-03-22 20:35:34,75,58.7,2353,53.2,2602.4,36.2
2026-03-22 20:35:40,80,60.7,2347,53.2,2603.6,33.0
2026-03-22 20:35:46,85,60.3,2336,54.9,2605.0,36.2
2026-03-22 20:35:52,90,58.3,2334,54.3,2606.2,33.0
2026-03-22 20:35:58,95,65.7,2406,55.4,2607.8,36.0
2026-03-22 20:36:03,100,63.3,2389,54.9,2608.0,33.2
2026-03-22 20:36:09,105,57.3,2387,54.9,2609.8,36.0
2026-03-22 20:36:15,110,52.7,2378,54.9,2611.8,33.0
2026-03-22 20:36:21,115,47.6,2390,54.9,2612.5,36.2
2026-03-22 20:36:27,120,41.6,2368,53.2,2614.2,33.0
2026-03-22 20:36:32,125,42.9,2358,53.8,2614.5,36.0
2026-03-22 20:36:38,130,60.2,2357,54.9,2616.6,33.0
2026-03-22 20:36:44,135,59.8,2349,54.3,2616.5,36.2
2026-03-22 20:36:50,140,60.5,2349,54.9,2616.8,33.0
2026-03-22 20:36:56,145,61.3,2356,54.3,2617.5,36.0
2026-03-22 20:37:01,150,61.0,2347,55.4,2618.3,33.0
2026-03-22 20:37:07,155,54.6,2349,54.9,2618.4,36.0
2026-03-22 20:37:13,160,52.6,2345,54.9,2619.9,33.2
2026-03-22 20:37:19,165,46.3,2343,56.5,2621.5,36.0
2026-03-22 20:37:25,170,42.3,2339,56.5,2620.9,33.0
2026-03-22 20:37:30,175,44.6,2342,54.9,2620.7,36.0
2026-03-22 20:37:36,180,59.9,2323,55.4,2621.4,33.2
2026-03-22 20:37:42,185,59.6,2334,56.0,2622.4,36.0
2026-03-22 20:37:48,190,59.4,2330,56.0,2622.4,33.0
2026-03-22 20:37:54,195,60.3,2337,56.5,2622.7,36.2
2026-03-22 20:37:59,200,61.0,2335,55.4,2622.8,33.0
2026-03-22 20:38:05,205,57.4,2341,56.5,2623.0,35.8
2026-03-22 20:38:11,210,51.2,2330,56.5,2624.9,33.2
2026-03-22 20:38:17,215,50.6,2338,54.9,2624.4,36.0
2026-03-22 20:38:23,220,42.4,2326,56.5,2624.5,36.0
2026-03-22 20:38:28,225,45.0,2328,56.0,2624.6,33.2
2026-03-22 20:38:34,230,48.2,2333,56.5,2626.0,36.0
2026-03-22 20:38:40,235,51.0,2333,56.0,2626.2,33.2
2026-03-22 20:38:46,240,57.3,2328,56.0,2626.5,33.0
2026-03-22 20:38:52,245,65.2,2334,57.6,2626.3,36.0
2026-03-22 20:38:57,250,73.6,2310,58.2,2626.7,36.0
2026-03-22 20:39:03,255,59.8,2298,57.1,2626.6,33.0
2026-03-22 20:39:09,260,58.6,2298,57.1,2627.0,36.2
2026-03-22 20:39:15,265,60.1,2305,57.1,2626.7,33.0
2026-03-22 20:39:21,270,61.4,2297,56.0,2626.8,36.0
2026-03-22 20:39:27,275,59.1,2300,57.6,2627.1,33.2
2026-03-22 20:39:32,280,56.0,2290,57.1,2627.5,35.8
2026-03-22 20:39:38,285,53.8,2294,56.5,2628.1,33.4
2026-03-22 20:39:44,290,47.5,2302,57.6,2627.7,36.0
2026-03-22 20:39:50,295,45.3,2309,57.1,2627.7,33.2
