timestamp,elapsed_s,cpu_percent,ram_mb,temp_c,bitrate_kbps,fps
2026-03-22 20:42:32,0,61.0,1398,53.2,2328.1,N/A
2026-03-22 20:42:38,5,59.1,1404,53.8,2429.6,36.0
2026-03-22 20:42:44,10,55.7,1405,53.8,2473.4,33.0
2026-03-22 20:42:50,15,53.7,1398,54.3,2507.9,36.2
2026-03-22 20:42:56,20,47.0,1397,54.9,2534.9,33.0
2026-03-22 20:43:01,25,42.1,1397,54.9,2548.1,36.0
2026-03-22 20:43:07,30,42.9,1402,54.3,2556.4,33.2
2026-03-22 20:43:13,35,47.6,1399,54.3,2568.4,33.2
2026-03-22 20:43:19,40,50.4,1406,53.8,2576.2,35.8
2026-03-22 20:43:25,45,58.7,1407,55.4,2581.6,33.2
2026-03-22 20:43:30,50,56.1,1407,54.3,2588.2,36.0
2026-03-22 20:43:36,55,59.6,1405,56.0,2587.5,33.0
2026-03-22 20:43:42,60,58.7,1409,56.5,2593.5,36.0
2026-03-22 20:43:48,65,59.8,1409,57.1,2594.6,33.2
2026-03-22 20:43:54,70,60.9,1394,56.0,2597.1,36.0
2026-03-22 20:43:59,75,57.6,1404,54.3,2600.2,32.8
2026-03-22 20:44:05,80,53.4,1402,56.5,2601.8,36.0
2026-03-22 20:44:11,85,47.6,1389,56.5,2605.0,33.2
2026-03-22 20:44:17,90,41.0,1386,54.9,2607.4,36.2
2026-03-22 20:44:23,95,41.2,1400,56.0,2607.8,33.2
2026-03-22 20:44:28,100,43.5,1387,57.1,2608.0,36.0
2026-03-22 20:44:34,105,46.8,1397,57.1,2612.1,33.0
2026-03-22 20:44:40,110,51.2,1384,56.0,2612.7,36.0
2026-03-22 20:44:46,115,55.8,1401,56.0,2613.0,33.0
2026-03-22 20:44:52,120,57.7,1388,57.1,2614.4,36.2
2026-03-22 20:44:57,125,58.9,1385,57.1,2615.3,33.0
2026-03-22 20:45:03,130,58.7,1394,57.1,2615.3,36.2
2026-03-22 20:45:09,135,58.0,1393,57.1,2615.3,33.2
2026-03-22 20:45:15,140,61.0,1396,56.5,2616.3,36.2
2026-03-22 20:45:21,145,57.9,1398,57.6,2617.3,33.0
2026-03-22 20:45:26,150,51.2,1402,56.5,2617.6,36.0
2026-03-22 20:45:32,155,49.0,1395,57.6,2619.3,33.2
2026-03-22 20:45:38,160,40.2,1398,56.5,2619.2,36.0
2026-03-22 20:45:44,165,47.2,1389,56.0,2619.3,33.2
2026-03-22 20:45:50,170,43.3,1387,57.1,2621.1,36.0
2026-03-22 20:45:55,175,48.6,1401,57.1,2621.6,33.0
2026-03-22 20:46:01,180,54.7,1400,57.1,2622.2,36.0
2026-03-22 20:46:07,185,57.7,1396,57.6,2622.4,33.0
2026-03-22 20:46:13,190,56.9,1396,59.3,2623.3,36.2
2026-03-22 20:46:19,195,59.4,1409,57.1,2622.8,33.0
2026-03-22 20:46:24,200,58.5,1401,58.2,2623.5,36.0
2026-03-22 20:46:30,205,58.8,1401,58.2,2622.7,33.2
2026-03-22 20:46:36,210,59.5,1387,58.2,2623.3,36.0
2026-03-22 20:46:42,215,56.7,1388,59.3,2624.1,33.0
2026-03-22 20:46:47,220,51.2,1374,59.8,2623.7,36.2
2026-03-22 20:46:53,225,48.6,1388,57.6,2625.0,33.0
2026-03-22 20:46:59,230,41.9,1374,58.2,2624.9,36.0
2026-03-22 20:47:05,235,42.4,1378,57.6,2625.3,33.2
2026-03-22 20:47:11,240,44.7,1375,57.1,2625.4,36.0
2026-03-22 20:47:17,245,51.0,1381,57.1,2626.6,33.0
2026-03-22 20:47:22,250,68.4,1415,59.8,2626.9,36.0
2026-03-22 20:47:28,255,57.3,1406,58.2,2626.6,33.2
2026-03-22 20:47:34,260,59.3,1394,58.2,2627.0,35.8
2026-03-22 20:47:40,265,60.8,1409,57.6,2626.9,33.0
2026-03-22 20:47:46,270,58.4,1393,59.3,2627.0,36.2
2026-03-22 20:47:51,275,59.9,1393,58.2,2627.0,33.0
2026-03-22 20:47:57,280,58.8,1383,57.6,2627.3,36.0
2026-03-22 20:48:03,285,56.4,1387,58.7,2627.5,33.0
2026-03-22 20:48:09,290,54.5,1385,58.7,2627.4,36.0
2026-03-22 20:48:15,295,50.8,1398,57.1,2628.1,33.0
