timestamp,cpu_percent,ram_mb,temp_c,bitrate_kbps,fps_real,frames_skipped
19:01:29,63.3,2766,65.3,0,0,0
19:01:37,45.7,2772,63.7,2757,31.5,0
19:01:46,50.0,2746,62.6,2546,28.0,0
19:01:54,45.7,2697,62.0,2815,31.6,0
19:02:03,41.3,2698,62.0,2500,28.1,0
19:02:11,45.7,2671,60.9,2794,31.5,0
19:02:19,41.3,2668,62.6,2799,31.5,0
19:02:28,50.0,2663,62.0,2504,28.0,0
19:02:36,46.7,2669,60.4,2802,31.5,0
19:02:45,58.7,2671,61.5,2483,28.0,0
19:02:53,34.8,2686,62.0,2822,31.7,0
19:03:01,42.2,2664,61.5,2820,31.5,0
19:03:10,46.7,2677,62.6,2503,28.1,0
19:03:18,44.4,2672,61.5,2802,31.5,0
19:03:27,44.4,2678,61.5,2483,28.0,0
19:03:35,52.2,2685,62.6,2845,32.2,0
19:03:44,48.9,2720,60.4,2522,28.0,0
19:03:52,45.5,2679,60.4,2818,31.6,0
19:04:01,44.7,2677,60.9,2498,28.1,0
19:04:09,47.7,2667,60.9,2803,31.5,0
19:04:17,48.9,2651,62.0,2794,31.6,0
19:04:26,45.7,2641,61.5,2513,28.0,0
19:04:34,47.7,2657,61.5,2804,31.5,0
19:04:43,47.8,2647,60.9,2480,28.0,0
19:04:51,42.6,2657,60.9,2816,31.6,0
19:04:59,46.8,2641,60.9,2826,31.6,0
19:05:08,46.8,2646,60.4,2504,28.1,0
19:05:16,45.5,2642,61.5,2797,31.5,0
19:05:25,47.7,2649,60.9,2503,28.1,0
19:05:33,45.5,2644,59.8,2801,31.5,0
19:05:42,39.1,2706,61.5,2498,28.0,0
19:05:50,44.4,2690,60.9,2801,31.5,0
19:05:58,44.4,2687,60.9,2811,31.6,0
19:06:07,42.2,2680,59.8,2500,28.1,0
19:06:15,48.9,2649,61.5,2812,31.5,0
19:06:24,42.2,2644,59.8,2497,28.0,0

# RESUMEN
# Muestras,36
# CPU_media,46.2
# CPU_min,34.8
# CPU_max,63.3
# RAM_media,2676
# RAM_min,2641
# RAM_max,2772
# Temp_media,61.4
# Temp_min,59.8
# Temp_max,65.3
# Bitrate_media,2602
# Bitrate_max,2845
# FPS_media,29.2
