timestamp,cpu_percent,ram_mb,temp_c,bitrate_kbps,fps_real,frames_skipped
18:50:07,62.5,1809,60.9,3523448,39577.0,0
18:50:15,44.4,1801,58.7,2765,31.5,0
18:50:23,38.3,1788,58.7,2799,31.5,0
18:50:32,38.6,1776,58.7,2501,28.0,0
18:50:40,53.3,1791,59.8,2922,31.5,0
18:50:49,45.7,1782,59.8,2499,28.1,0
18:50:57,47.7,1788,60.9,2796,31.5,0
18:51:05,46.7,1784,60.4,2801,31.5,0
18:51:14,44.2,1786,59.8,2493,28.0,0
18:51:22,45.5,1786,60.4,2799,31.5,0
18:51:31,43.5,1780,60.4,2490,28.0,0
18:51:39,45.5,1783,59.8,2816,31.5,0
18:51:47,48.9,1789,60.9,2826,31.6,0
18:51:56,41.3,1779,60.4,2497,28.1,0
18:52:04,42.2,1786,60.9,2804,31.5,0
18:52:13,46.7,1789,60.4,2487,28.0,0
18:52:21,44.4,1791,60.9,2799,31.6,0
18:52:29,42.2,1776,60.9,2825,31.5,0
18:52:38,46.7,1785,60.4,2504,28.1,0
18:52:46,44.4,1780,59.8,2795,31.5,0
18:52:55,42.2,1783,59.8,2496,28.0,0
18:53:03,45.7,1786,60.4,2788,31.5,0
18:53:12,44.4,1789,60.4,2511,28.0,0
18:53:20,46.8,1778,59.3,2803,31.5,0
18:53:28,46.7,1782,60.9,2792,31.5,0
18:53:37,44.2,1786,61.5,2487,28.0,0
18:53:45,42.2,1786,60.4,2808,31.5,0
18:53:54,37.0,1774,60.9,2502,28.0,0
18:54:02,40.4,1784,60.4,2787,31.5,0
18:54:10,44.4,1783,60.9,2790,31.5,0
18:54:19,38.6,1790,60.4,2488,28.1,0
18:54:27,45.7,1785,59.8,2824,31.5,0
18:54:36,40.0,1792,59.8,2500,28.0,0
18:54:44,44.2,1775,59.3,2793,31.5,0
18:54:52,44.4,1789,60.9,2812,31.5,0
18:55:01,44.4,1784,59.3,2483,27.8,0

# RESUMEN
# Muestras,36
# CPU_media,44.5
# CPU_min,37.0
# CPU_max,62.5
# RAM_media,1785
# RAM_min,1774
# RAM_max,1809
# Temp_media,60.2
# Temp_min,58.7
# Temp_max,61.5
# Bitrate_media,100481
# Bitrate_max,3523448
# FPS_media,1128.6
